TIME EXCHANGE,TIME COINAPI,PRICE,BASE AMOUNT,TAKER SIDE
2018-09-26 0:01:04,2018-09-26 0:00:05,6422.5,0.175,SELL
2018-09-26 0:01:14,2018-09-26 0:00:15,6422.5,0.00110334,SELL
2018-09-26 0:01:36,2018-09-26 0:00:37,6422.5,0.63606,SELL
2018-09-26 0:01:36,2018-09-26 0:00:37,6423.79,0.31086204,BUY
2018-09-26 0:01:45,2018-09-26 0:00:46,6422.5,1.57598,SELL
2018-09-26 0:02:08,2018-09-26 0:01:09,6422,0.05,SELL
2018-09-26 0:02:08,2018-09-26 0:01:09,6422,0.637,SELL
2018-09-26 0:02:08,2018-09-26 0:01:09,6422,0.496227,SELL
2018-09-26 0:02:08,2018-09-26 0:01:10,6422,1.60013759,SELL
2018-09-26 0:02:09,2018-09-26 0:01:10,6422,1.09263541,SELL
